State_proved,Mean_time,Mean_profit
"[95, 8]",0.25452935695648193,75.0
"[95, 9]",0.22497302293777466,76.75
"[95, 10]",0.20221304893493652,82.5
"[100, 1]",2.1218302845954895,83.0
"[100, 2]",1.037765383720398,81.0
"[100, 3]",0.6858254671096802,81.5
"[100, 4]",0.5100371837615967,82.25
"[100, 5]",0.3991248607635498,81.0
"[100, 6]",0.3353841304779053,80.5
"[100, 7]",0.28391170501708984,78.75
"[100, 8]",0.24915993213653564,77.75
"[100, 9]",0.2191137671470642,80.5
"[100, 10]",0.19528567790985107,83.0
"[105, 1]",2.121697247028351,82.25
"[105, 2]",1.0171371102333069,80.75
"[105, 3]",0.6735275983810425,79.0
"[105, 4]",0.49489885568618774,82.25
"[105, 5]",0.39323657751083374,82.75
"[105, 6]",0.33910125494003296,80.75
"[105, 7]",0.28607243299484253,81.75
"[105, 8]",0.2525712847709656,80.5
"[105, 9]",0.22209006547927856,82.25
"[105, 10]",0.21341973543167114,78.75
"[110, 1]",2.035980224609375,83.25
"[110, 2]",1.015520691871643,83.25
"[110, 3]",0.6733093857765198,83.0
"[110, 4]",0.536050021648407,82.25
"[110, 5]",0.3969452381134033,81.5
"[110, 6]",0.3433114290237427,80.5
"[110, 7]",0.29992520809173584,76.25
"[110, 8]",0.2727454900741577,73.75
"[110, 9]",0.23608392477035522,82.5
"[110, 10]",0.20321178436279297,78.5
"[115, 1]",2.039477825164795,83.25
"[115, 2]",1.0317842364311218,82.0
"[115, 3]",0.6759709715843201,82.5
"[115, 4]",0.496093213558197,80.75
"[115, 5]",0.397436261177063,83.0
"[115, 6]",0.3508352041244507,81.5
"[115, 7]",0.3120971918106079,80.5
"[115, 8]",0.2755168676376343,80.0
"[115, 9]",0.2408151626586914,81.0
"[115, 10]",0.21320831775665283,78.5
"[120, 1]",2.1022112369537354,83.25
"[120, 2]",1.0434558391571045,83.0
"[120, 3]",0.6828671097755432,83.0
"[120, 4]",0.5108046531677246,77.0
"[120, 5]",0.429548978805542,82.25
"[120, 6]",0.34072810411453247,74.75
"[120, 7]",0.31322914361953735,79.25
"[120, 8]",0.252810537815094,77.25
"[120, 9]",0.2246440052986145,79.75
"[120, 10]",0.19931620359420776,76.0
"[125, 1]",2.0381919741630554,83.25
"[125, 2]",1.0002873539924622,83.25
"[125, 3]",0.6564538478851318,81.75
"[125, 4]",0.4959676265716553,80.25
"[125, 5]",0.39244353771209717,81.75
"[125, 6]",0.3336552381515503,81.5
"[125, 7]",0.2830222249031067,80.25
"[125, 8]",0.2463228702545166,81.75
"[125, 9]",0.22053056955337524,81.5
"[125, 10]",0.208329439163208,79.0
"[130, 1]",2.077205538749695,83.25
"[130, 2]",1.0005342364311218,82.5
"[130, 3]",0.6656293869018555,81.75
"[130, 4]",0.49085533618927,81.5
"[130, 5]",0.39502280950546265,82.25
"[130, 6]",0.3315533399581909,81.0
