State_proved,Mean_time,Mean_profit
"[50, 5000, 500]",1.3883495330810547,94.0
"[50, 5000, 750]",2.061417818069458,95.0
"[50, 6000, 0]",0.0037764310836791992,92.0
"[50, 6000, 250]",0.6926015615463257,92.5
"[50, 6000, 500]",1.4110040664672852,95.0
"[50, 6000, 750]",2.1610153913497925,95.0
"[50, 7000, 0]",0.003489971160888672,92.0
"[50, 7000, 250]",0.747200608253479,94.0
"[50, 7000, 500]",1.43412184715271,95.0
"[50, 7000, 750]",2.1022021770477295,94.0
"[50, 8000, 0]",0.003255009651184082,92.0
"[50, 8000, 250]",0.6730064153671265,95.0
"[50, 8000, 500]",1.3853577375411987,95.0
"[50, 8000, 750]",2.07805073261261,95.0
"[50, 9000, 0]",0.0036439895629882812,92.0
"[50, 9000, 250]",0.6928372383117676,94.0
"[50, 9000, 500]",1.3681219816207886,95.0
"[50, 9000, 750]",2.105324387550354,95.0
"[50, 10000, 0]",0.0025016069412231445,92.0
"[50, 10000, 250]",0.6872553825378418,94.0
"[50, 10000, 500]",1.4011313915252686,95.0
"[50, 10000, 750]",2.085860252380371,94.0
"[60, 0, 0]",0.0029631853103637695,92.0
